Geopolitical entity (reporting),Time,value
European Union - 27 countries (from 2020),2021Q3,3753276.3
European Union - 27 countries (from 2020),2021Q4,3833475.1
European Union - 27 countries (from 2020),2022Q1,3913263.8
European Union - 27 countries (from 2020),2022Q2,4000806.3
European Union - 27 countries (from 2020),2022Q3,4076031.0
European Union - 27 countries (from 2020),2022Q4,4143298.6
European Union - 27 countries (from 2020),2023Q1,4232477.6
European Union - 27 countries (from 2020),2023Q2,4283297.9
European Union - 27 countries (from 2020),2023Q3,4313952.5
European Union - 27 countries (from 2020),2023Q4,4371460.2
European Union - 27 countries (from 2020),2024Q1,4420858.2
European Union - 27 countries (from 2020),2024Q2,4457251.4
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021Q3,3187247.2
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021Q4,3246876.8
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022Q1,3313351.4
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022Q2,3382569.3
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022Q3,3445011.7
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022Q4,3505964.1
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023Q1,3594359.3
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023Q2,3635757.4
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023Q3,3665016.0
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023Q4,3706721.1
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024Q1,3742614.9
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024Q2,3768686.8
Euro area – 20 countries (from 2023),2021Q3,3202056.9
Euro area – 20 countries (from 2023),2021Q4,3262265.5
Euro area – 20 countries (from 2023),2022Q1,3329358.6
Euro area – 20 countries (from 2023),2022Q2,3399185.3
Euro area – 20 countries (from 2023),2022Q3,3462191.7
Euro area – 20 countries (from 2023),2022Q4,3523772.4
Euro area – 20 countries (from 2023),2023Q1,3594359.3
Euro area – 20 countries (from 2023),2023Q2,3635757.4
Euro area – 20 countries (from 2023),2023Q3,3665016.0
Euro area – 20 countries (from 2023),2023Q4,3706721.1
Euro area – 20 countries (from 2023),2024Q1,3742614.9
Euro area – 20 countries (from 2023),2024Q2,3768686.8
Euro area - 19 countries  (2015-2022),2021Q3,3187247.2
Euro area - 19 countries  (2015-2022),2021Q4,3246876.8
Euro area - 19 countries  (2015-2022),2022Q1,3313351.4
Euro area - 19 countries  (2015-2022),2022Q2,3382569.3
