"07938: Personer med helse- og sosialfaglig utdanning. 4. kvartal, etter statistikkvariabel, fagutdanning, alder, kjønn og år"

"statistikkvariabel";"fagutdanning";"alder";"kjønn";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Personer";"Helsesekretær";"Alle aldre";"Kvinner";12479;12728;13007;13305;13581;13869;14220;14529;14887;15251;15619;15996;16419;16853;17300;17852
"Personer";"Helsesekretær";"Alle aldre";"Menn";76;80;86;88;90;92;92;95;104;112;115;124;143;164;185;196
"Personer";"Helsesekretær";"15-39 år";"Kvinner";5768;5561;5333;5088;4861;4663;4592;4536;4559;4578;4595;4577;4608;4642;4682;4779
"Personer";"Helsesekretær";"15-39 år";"Menn";61;66;70;70;68;68;66;67;74;75;71;75;78;93;107;114
"Personer";"Helsesekretær";"15-66 år";"Kvinner";12314;12525;12766;12990;13205;13399;13632;13809;14019;14223;14421;14616;14809;15025;15242;15550
"Personer";"Helsesekretær";"15-66 år";"Menn";76;80;86;88;90;92;92;95;104;112;115;124;143;164;185;193
"Personer";"Helsesekretær";"15-74 år";"Kvinner";12445;12694;12968;13256;13521;13796;14133;14421;14747;15084;15421;15724;16090;16443;16798;17235
"Personer";"Helsesekretær";"15-74 år";"Menn";76;80;86;88;90;92;92;95;104;112;115;124;143;164;185;196
"Personer";"Helsesekretær";"40-54 år";"Kvinner";4979;5203;5443;5692;5896;6072;6207;6289;6301;6303;6288;6274;6232;6202;6191;6225
"Personer";"Helsesekretær";"40-54 år";"Menn";15;14;15;16;19;21;21;22;23;29;36;42;56;58;64;64
"Personer";"Helsesekretær";"55-66 år";"Kvinner";1567;1761;1990;2210;2448;2664;2833;2984;3159;3342;3538;3765;3969;4181;4369;4546
"Personer";"Helsesekretær";"55-66 år";"Menn";0;0;..;..;..;..;5;6;7;8;8;7;9;13;14;15
"Personer";"Hjelpepleier";"Alle aldre";"Kvinner";98068;98810;98097;96464;94806;93172;91706;90510;88621;87100;85429;86469;85259;83992;82688;81391
"Personer";"Hjelpepleier";"Alle aldre";"Menn";6067;6240;6233;6091;5968;5852;5765;5668;5582;5508;5387;5343;5290;5204;5147;5060
"Personer";"Hjelpepleier";"15-39 år";"Kvinner";22635;21595;19741;17408;15232;13453;11893;10576;9474;8479;7506;6551;5767;4938;4194;3506
"Personer";"Hjelpepleier";"15-39 år";"Menn";1614;1589;1459;1264;1081;933;828;720;619;554;440;375;321;258;219;184
"Personer";"Hjelpepleier";"15-66 år";"Kvinner";84392;84417;82803;80113;77193;74041;70985;67910;64902;62010;58835;55888;52972;49943;46837;43843
"Personer";"Hjelpepleier";"15-66 år";"Menn";5702;5846;5815;5646;5491;5314;5148;4954;4795;4637;4434;4259;4085;3880;3656;3436
"Personer";"Hjelpepleier";"15-74 år";"Kvinner";91942;92510;91524;89636;87688;85825;83878;81938;80128;78158;75903;73754;71569;68989;66416;63836
"Personer";"Hjelpepleier";"15-74 år";"Menn";5929;6095;6083;5937;5818;5695;5600;5474;5371;5270;5138;5039;4941;4810;4685;4530
"Personer";"Hjelpepleier";"40-54 år";"Kvinner";34860;34371;33183;31786;30292;28726;27178;25695;24263;22896;21473;20264;19149;18087;17086;16009
"Personer";"Hjelpepleier";"40-54 år";"Menn";2866;2889;2816;2695;2604;2504;2401;2242;2142;1990;1903;1755;1643;1520;1359;1216
"Personer";"Hjelpepleier";"55-66 år";"Kvinner";26897;28451;29879;30919;31669;31862;31914;31639;31165;30635;29856;29073;28056;26918;25557;24328
"Personer";"Hjelpepleier";"55-66 år";"Menn";1222;1368;1540;1687;1806;1877;1919;1992;2034;2093;2091;2129;2121;2102;2078;2036
"Personer";"Helsefagarbeider";"Alle aldre";"Kvinner";0;228;1141;3456;6032;10755;14388;17493;21439;24785;27327;30733;33958;37357;40472;43587
"Personer";"Helsefagarbeider";"Alle aldre";"Menn";0;31;168;485;856;1442;1899;2232;2911;3558;3957;4698;5511;6447;7317;8203
"Personer";"Helsefagarbeider";"15-39 år";"Kvinner";0;76;548;2034;3468;5750;7648;9313;11664;13486;14779;16582;18372;20132;21612;22881
"Personer";"Helsefagarbeider";"15-39 år";"Menn";0;9;95;326;580;953;1232;1373;1806;2159;2285;2619;3070;3569;3974;4329
"Personer";"Helsefagarbeider";"15-66 år";"Kvinner";0;227;1139;3453;6023;10735;14334;17395;21249;24484;26886;30129;33147;36297;39154;41945
"Personer";"Helsefagarbeider";"15-66 år";"Menn";0;31;168;485;856;1441;1896;2226;2907;3547;3935;4672;5477;6398;7243;8111
"Personer";"Helsefagarbeider";"15-74 år";"Kvinner";0;228;1141;3456;6032;10755;14383;17485;21430;24775;27313;30719;33938;37327;40423;43501
"Personer";"Helsefagarbeider";"15-74 år";"Menn";0;31;168;485;856;1442;1899;2232;2911;3558;3957;4698;5511;6447;7314;8199
"Personer";"Helsefagarbeider";"40-54 år";"Kvinner";0;122;484;1153;2013;3450;4555;5472;6417;7276;7924;8814;9501;10354;11185;12193
"Personer";"Helsefagarbeider";"40-54 år";"Menn";0;18;60;130;225;397;529;682;854;1075;1280;1586;1822;2119;2423;2790
"Personer";"Helsefagarbeider";"55-66 år";"Kvinner";0;29;107;266;542;1535;2131;2610;3168;3722;4183;4733;5274;5811;6357;6871
"Personer";"Helsefagarbeider";"55-66 år";"Menn";0;4;13;29;51;91;135;171;247;313;370;467;585;710;846;992
"Personer";"Omsorgsarbeider";"Alle aldre";"Kvinner";19171;19601;19814;19715;19295;17558;16807;16275;15775;14827;14358;14038;13786;13584;13363;13148
"Personer";"Omsorgsarbeider";"Alle aldre";"Menn";1074;1115;1147;1142;1124;1075;1035;1015;985;931;906;880;866;855;839;823
"Personer";"Omsorgsarbeider";"15-39 år";"Kvinner";8724;8554;8258;7700;7083;6107;5302;4539;3790;3075;2483;1970;1601;1263;952;727
"Personer";"Omsorgsarbeider";"15-39 år";"Menn";558;546;532;499;458;414;348;303;253;204;155;122;89;69;53;46
"Personer";"Omsorgsarbeider";"15-66 år";"Kvinner";18901;19233;19325;19115;18514;16527;15528;14732;14014;12827;12131;11581;11088;10673;10214;9792
"Personer";"Omsorgsarbeider";"15-66 år";"Menn";1068;1108;1137;1128;1104;1050;1008;979;942;884;851;816;794;768;748;727
"Personer";"Omsorgsarbeider";"15-74 år";"Kvinner";19155;19579;19782;19673;19243;17472;16686;16101;15546;14509;13934;13509;13101;12682;12241;11804
"Personer";"Omsorgsarbeider";"15-74 år";"Menn";1074;1115;1147;1141;1122;1072;1032;1011;981;926;898;869;850;836;819;796
"Personer";"Omsorgsarbeider";"40-54 år";"Kvinner";6923;7105;7151;7177;7059;6566;6474;6531;6593;6204;6118;6052;5848;5699;5544;5333
"Personer";"Omsorgsarbeider";"40-54 år";"Menn";419;447;477;492;499;491;503;504;509;480;485;481;478;463;442;397
"Personer";"Omsorgsarbeider";"55-66 år";"Kvinner";3254;3574;3916;4238;4372;3854;3752;3662;3631;3548;3530;3559;3639;3711;3718;3732
"Personer";"Omsorgsarbeider";"55-66 år";"Menn";91;115;128;137;147;145;157;172;180;200;211;213;227;236;253;284
"Personer";"Apotektekniker";"Alle aldre";"Kvinner";5564;5698;5838;5973;6076;6237;6377;6566;6753;6919;7052;7157;7275;7418;7537;7655
"Personer";"Apotektekniker";"Alle aldre";"Menn";196;209;216;220;230;234;248;255;281;305;321;343;366;403;430;449
"Personer";"Apotektekniker";"15-39 år";"Kvinner";2676;2624;2570;2520;2432;2415;2434;2529;2607;2694;2688;2633;2600;2592;2582;2543
"Personer";"Apotektekniker";"15-39 år";"Menn";119;127;126;125;130;131;140;143;161;181;185;198;213;243;267;276
"Personer";"Apotektekniker";"15-66 år";"Kvinner";5504;5614;5716;5795;5839;5932;6001;6114;6210;6307;6377;6399;6422;6490;6542;6548
"Personer";"Apotektekniker";"15-66 år";"Menn";194;205;210;214;222;222;235;238;260;285;300;321;344;379;411;429
"Personer";"Apotektekniker";"15-74 år";"Kvinner";5562;5696;5836;5969;6071;6225;6356;6530;6701;6847;6944;6999;7058;7135;7231;7279
"Personer";"Apotektekniker";"15-74 år";"Menn";196;209;216;220;230;234;247;255;278;301;315;338;359;393;423;436
"Personer";"Apotektekniker";"40-54 år";"Kvinner";1974;2073;2160;2226;2305;2378;2371;2331;2297;2220;2241;2260;2249;2264;2304;2325
"Personer";"Apotektekniker";"40-54 år";"Menn";51;55;62;64;68;73;76;77;78;77;88;94;100;99;103;108
"Personer";"Apotektekniker";"55-66 år";"Kvinner";854;917;986;1049;1102;1139;1196;1254;1306;1393;1448;1506;1573;1634;1656;1680
"Personer";"Apotektekniker";"55-66 år";"Menn";24;23;22;25;24;18;19;18;21;27;27;29;31;37;41;45
"Personer";"Fotterapeut";"Alle aldre";"Kvinner";2158;2188;2248;2286;2335;2373;2420;2431;2475;2490;2515;2551;2579;2601;2643;2672
"Personer";"Fotterapeut";"Alle aldre";"Menn";47;48;52;51;50;53;56;57;60;59;64;65;62;67;69;66
"Personer";"Fotterapeut";"15-39 år";"Kvinner";1018;964;900;824;750;676;630;578;543;495;455;428;398;383;365;361
"Personer";"Fotterapeut";"15-39 år";"Menn";17;17;15;14;12;11;12;13;10;9;12;12;13;12;10;10
"Personer";"Fotterapeut";"15-66 år";"Kvinner";2055;2085;2133;2161;2198;2217;2248;2236;2262;2256;2259;2239;2238;2223;2222;2219
"Personer";"Fotterapeut";"15-66 år";"Menn";46;47;51;49;48;51;53;54;57;56;58;59;59;60;59;59
"Personer";"Fotterapeut";"15-74 år";"Kvinner";2117;2147;2201;2239;2287;2327;2368;2369;2408;2424;2442;2447;2465;2470;2496;2515
"Personer";"Fotterapeut";"15-74 år";"Menn";47;48;52;51;50;52;55;57;60;59;64;62;62;64;66;66
"Personer";"Fotterapeut";"40-54 år";"Kvinner";754;805;876;947;1034;1097;1143;1152;1167;1167;1178;1151;1156;1120;1105;1069
"Personer";"Fotterapeut";"40-54 år";"Menn";24;24;29;29;28;30;31;29;35;33;27;25;25;25;27;21
"Personer";"Fotterapeut";"55-66 år";"Kvinner";283;316;357;390;414;444;475;506;552;594;626;660;684;720;752;789
"Personer";"Fotterapeut";"55-66 år";"Menn";5;6;7;6;8;10;10;12;12;14;19;22;21;23;22;28
"Personer";"Barne- og ungdomsarbeidere";"Alle aldre";"Kvinner";14308;15306;16577;17937;19466;20984;22479;24585;26913;29251;31498;33819;36298;38281;40294;42071
"Personer";"Barne- og ungdomsarbeidere";"Alle aldre";"Menn";929;1070;1192;1323;1475;1639;1820;2067;2384;2723;3108;3509;4014;4497;5063;5555
"Personer";"Barne- og ungdomsarbeidere";"15-39 år";"Kvinner";8470;8857;9367;9905;10491;11046;11593;12385;13224;14002;14354;14852;15349;15734;16135;16518
"Personer";"Barne- og ungdomsarbeidere";"15-39 år";"Menn";646;718;783;848;937;1029;1140;1299;1501;1711;1932;2167;2461;2752;3076;3374
"Personer";"Barne- og ungdomsarbeidere";"15-66 år";"Kvinner";14256;15236;16479;17794;19274;20697;22104;24095;26300;28465;30536;32633;34843;36531;38205;39592
"Personer";"Barne- og ungdomsarbeidere";"15-66 år";"Menn";927;1068;1188;1318;1466;1628;1807;2053;2365;2702;3085;3479;3964;4440;4984;5460
