"måned"	"Opna konkursar"
"1980M01"	75
"1980M02"	49
"1980M03"	65
"1980M04"	58
"1980M05"	56
"1980M06"	66
"1980M07"	43
"1980M08"	64
"1980M09"	72
"1980M10"	84
"1980M11"	66
"1980M12"	67
"1981M01"	72
"1981M02"	44
"1981M03"	83
"1981M04"	60
"1981M05"	75
"1981M06"	66
"1981M07"	65
"1981M08"	61
"1981M09"	84
"1981M10"	67
"1981M11"	60
"1981M12"	73
"1982M01"	57
"1982M02"	73
"1982M03"	87
"1982M04"	81
"1982M05"	58
"1982M06"	103
"1982M07"	47
"1982M08"	70
"1982M09"	94
"1982M10"	89
"1982M11"	122
"1982M12"	74
"1983M01"	104
"1983M02"	112
"1983M03"	88
"1983M04"	102
"1983M05"	95
"1983M06"	115
"1983M07"	75
"1983M08"	80
"1983M09"	122
"1983M10"	115
"1983M11"	125
"1983M12"	103
"1984M01"	105
"1984M02"	128
"1984M03"	124
"1984M04"	97
"1984M05"	101
"1984M06"	119
"1984M07"	93
"1984M08"	100
"1984M09"	110
"1984M10"	124
"1984M11"	124
"1984M12"	79
"1985M01"	98
"1985M02"	114
"1985M03"	157
"1985M04"	110
"1985M05"	100
"1985M06"	100
"1985M07"	82
"1985M08"	91
"1985M09"	120
"1985M10"	130
"1985M11"	135
"1985M12"	103
"1986M01"	95
"1986M02"	100
"1986M03"	80
"1986M04"	135
"1986M05"	111
"1986M06"	135
"1986M07"	113
"1986M08"	91
"1986M09"	133
"1986M10"	154
"1986M11"	141
"1986M12"	138
"1987M01"	130
"1987M02"	135
"1987M03"	200
"1987M04"	145
"1987M05"	154
"1987M06"	212
"1987M07"	176
"1987M08"	135
"1987M09"	160
"1987M10"	167
"1987M11"	243
"1987M12"	218
"1988M01"	229
"1988M02"	276
"1988M03"	364
"1988M04"	247
"1988M05"	306
"1988M06"	396
"1988M07"	280
"1988M08"	305
"1988M09"	371
"1988M10"	395
"1988M11"	372
"1988M12"	350
"1989M01"	392
"1989M02"	405
"1989M03"	423
"1989M04"	381
"1989M05"	382
"1989M06"	410
"1989M07"	376
"1989M08"	357
"1989M09"	316
"1989M10"	428
"1989M11"	390
"1989M12"	276
"1990M01"	302
"1990M02"	280
"1990M03"	318
"1990M04"	251
"1990M05"	325
"1990M06"	304
"1990M07"	272
"1990M08"	299
"1990M09"	329
"1990M10"	421
"1990M11"	398
"1990M12"	315
"1991M01"	357
"1991M02"	421
"1991M03"	449
"1991M04"	398
"1991M05"	449
"1991M06"	487
"1991M07"	339
"1991M08"	355
"1991M09"	446
"1991M10"	444
"1991M11"	444
"1991M12"	337
"1992M01"	416
"1992M02"	508
"1992M03"	592
"1992M04"	438
"1992M05"	439
"1992M06"	434
"1992M07"	384
"1992M08"	405
"1992M09"	581
"1992M10"	595
"1992M11"	519
"1992M12"	438
"1993M01"	507
"1993M02"	430
"1993M03"	548
